"","Symbol","Name","Branche"
"553","CCNC","Code Chain New Continent Limited ",NA
"554","CCNE","CNB Financial",NA
"555","CCOI","Cogent Communications Holdings","Finanzen"
"556","CCRC","China Customer Relations Centers",NA
"557","CCRN","Cross Country Healthcare","Gesundheitswesen"
"558","CCXI","ChemoCentryx","Gesundheitswesen"
"559","CD","Chindata Group Holdings Limited ",NA
"560","CDAK","Codiak BioSciences",NA
"561","CDC","VictoryShares US EQ Income Enhanced Volatility Wtd ETF",NA
"562","CDEV","Centennial Resource Development",NA
"563","CDK","CDK Global",NA
"564","CDL","VictoryShares US Large Cap High Div Volatility Wtd ETF",NA
"565","CDLX","Cardlytics",NA
"566","CDMO","Avid Bioservices","Technologie"
"567","CDNA","CareDx","Gesundheitswesen"
"568","CDNS","Cadence Design Systems",NA
"569","CDTX","Cidara Therapeutics","Technologie"
"570","CDW","CDW",NA
"571","CDXC","ChromaDex","Technologie"
"572","CDXS","Codexis","Technologie"
"573","CDZI","Cadiz",NA
"574","CECE","CECO Environmental",NA
"575","CEFA","Global X S&P Catholic Values Developed ex",NA
"576","CELC","Celcuity","Gesundheitswesen"
"577","CELH","Celsius Holdings","Finanzen"
"578","CEMI","Chembio Diagnostics",NA
"579","CENT","Central Garden & Pet Company ",NA
"580","CENX","Century Aluminum Company ",NA
"581","CERC","Cerecor","Gesundheitswesen"
"582","CERE","Cerevel Therapeutics Holdings",NA
